mealName|effort|tags|helthLevel
Ofengemüse mit Kartoffeln und Tzatziki|||
Kürbis-Gnocchi-Auflauf|||
Linsenbolognese|||
Süßkartoffel-Erdnuss-Curry|||
Wirsing mit Kartoffeln|||9
Grünkohl mit Kartoffeln|||10
Linsensuppe mit Pilzen|||10
Linsensuppe klassisch|||10
Linsensuppe marokkanisch|||10
Erbsensuppe|||10
Spinatsauce|||7
Pilzsauce|||7
Burger|||5
Curry mit Gemüse und Tofu und Reise|||
Curry mit Gemüse und Tofu und Mie-Nudeln|||
Salat mit Pilzen Tofu und Nüssen|||
Salat mit Avocado und Kernen und Eierdressing|||
Nudelsalat mit Pesto Tomaten und Pinienkernen|||
verschiedene Sorten Houmous mit Rohkost|||
Kartoffelsuppe|||
Butterbohnensuppe|||
Tomatensauce|||
Pizza|||
Lasagne mit Zucchini und Linsen|||
Nudelauflauf|||
Blumenkohl-Kartoffel-Auflauf|||9
Kartoffel-Lauch-Suppe (mit Linsen)|||9
"Spaghetti Polpette "|||
Spaghetti Carbonara|||
Bulgur mit mediterranem Gemüse|||9
Asia-Salat|||
Falaffel|||
Summer-Rolls|||
"Wassermelonen| Gurken und Tomatensalat"|||10
Asia-Gemüsesuppe mit Reis|||10
Schwarze Bohnen mit Reis|||10
Rouladengulasch|||
Gemüsecremesuppe|||9
Vollkornpancakes gefüllt/herzhaft|||
Chili|||10
Kichererbsensuppe|||
Kichererbsendal in Tomatensauce|||
Linsendal in Cashewsauce|||
Kartoffeln mit Spinat und Kichererbsen-Rührei|||
"Jambalaya "|||
Soja-Schnetzel-Gyros|||
Möhrengemüse durcheinander|||10
